year,level,course,sex,enrolment_secondary
1990,Secondary 3,Normal (Tech),MF,0
1990,Secondary 3,Normal (Tech),F,0
1990,Secondary 3,Special,MF,2228
1990,Secondary 3,Special,F,1092
1990,Secondary 4,Express,MF,23733
1990,Secondary 4,Express,F,11890
1990,Secondary 4,Normal (Acad),MF,13197
1990,Secondary 4,Normal (Acad),F,6249
1990,Secondary 4,Normal (Tech),MF,0
1990,Secondary 4,Normal (Tech),F,0
1990,Secondary 4,Special,MF,2167
1990,Secondary 4,Special,F,1071
1990,Secondary 5,Normal (Acad),MF,11551
1990,Secondary 5,Normal (Acad),F,5662
1991,Secondary 1,Express,MF,19218
1991,Secondary 1,Express,F,9646
1991,Secondary 1,Normal (Acad),MF,13559
1991,Secondary 1,Normal (Acad),F,6332
1991,Secondary 1,Normal (Tech),MF,0
1991,Secondary 1,Normal (Tech),F,0
1991,Secondary 1,Special,MF,2384
1991,Secondary 1,Special,F,1109
1991,Secondary 2,Express,MF,20686
1991,Secondary 2,Express,F,10456
1991,Secondary 2,Normal (Acad),MF,12542
1991,Secondary 2,Normal (Acad),F,5844
1991,Secondary 2,Normal (Tech),MF,0
1991,Secondary 2,Normal (Tech),F,0
1991,Secondary 2,Special,MF,2441
1991,Secondary 2,Special,F,1174
1991,Secondary 3,Express,MF,22718
1991,Secondary 3,Express,F,11363
1991,Secondary 3,Normal (Acad),MF,12964
1991,Secondary 3,Normal (Acad),F,5964
1991,Secondary 3,Normal (Tech),MF,0
1991,Secondary 3,Normal (Tech),F,0
1991,Secondary 3,Special,MF,2354
1991,Secondary 3,Special,F,1154
1991,Secondary 4,Express,MF,22035
1991,Secondary 4,Express,F,11051
1991,Secondary 4,Normal (Acad),MF,12306
1991,Secondary 4,Normal (Acad),F,5858
1991,Secondary 4,Normal (Tech),MF,0
1991,Secondary 4,Normal (Tech),F,0
1991,Secondary 4,Special,MF,2213
1991,Secondary 4,Special,F,1089
1991,Secondary 5,Normal (Acad),MF,11326
1991,Secondary 5,Normal (Acad),F,5545
1992,Secondary 1,Express,MF,19989
1992,Secondary 1,Express,F,9947
1992,Secondary 1,Normal (Acad),MF,13997
1992,Secondary 1,Normal (Acad),F,6430
1992,Secondary 1,Normal (Tech),MF,0
1992,Secondary 1,Normal (Tech),F,0
1992,Secondary 1,Special,MF,2519
1992,Secondary 1,Special,F,1178
1992,Secondary 2,Express,MF,20521
1992,Secondary 2,Express,F,10514
1992,Secondary 2,Normal (Acad),MF,12240
1992,Secondary 2,Normal (Acad),F,5517
1992,Secondary 2,Normal (Tech),MF,0
1992,Secondary 2,Normal (Tech),F,0
1992,Secondary 2,Special,MF,2424
