year,level,course,sex,enrolment_preu
1991,Pre-University 3,Commerce,F,1115
1991,Pre-University 3,Science,MF,175
1991,Pre-University 3,Science,F,72
1992,Junior College 1,Arts,MF,1607
1992,Junior College 1,Arts,F,1130
1992,Junior College 1,Commerce,MF,1962
1992,Junior College 1,Commerce,F,1437
1992,Junior College 1,Science,MF,5802
1992,Junior College 1,Science,F,2349
1992,Junior College 2,Arts,MF,1656
1992,Junior College 2,Arts,F,1252
1992,Junior College 2,Commerce,MF,2201
1992,Junior College 2,Commerce,F,1622
1992,Junior College 2,Science,MF,5673
1992,Junior College 2,Science,F,2165
1992,Pre-University 1,Arts,MF,242
1992,Pre-University 1,Arts,F,171
1992,Pre-University 1,Commerce,MF,1400
1992,Pre-University 1,Commerce,F,970
1992,Pre-University 1,Science,MF,182
1992,Pre-University 1,Science,F,69
1992,Pre-University 2,Arts,MF,298
1992,Pre-University 2,Arts,F,205
1992,Pre-University 2,Commerce,MF,1508
1992,Pre-University 2,Commerce,F,1022
1992,Pre-University 2,Science,MF,188
1992,Pre-University 2,Science,F,79
1992,Pre-University 3,Arts,MF,267
1992,Pre-University 3,Arts,F,193
1992,Pre-University 3,Commerce,MF,1531
1992,Pre-University 3,Commerce,F,1123
1992,Pre-University 3,Science,MF,146
1992,Pre-University 3,Science,F,54
1993,Junior College 1,Arts,MF,1622
1993,Junior College 1,Arts,F,1171
1993,Junior College 1,Commerce,MF,2134
1993,Junior College 1,Commerce,F,1582
1993,Junior College 1,Science,MF,6457
1993,Junior College 1,Science,F,2776
1993,Junior College 2,Arts,MF,1506
1993,Junior College 2,Arts,F,1062
1993,Junior College 2,Commerce,MF,1851
1993,Junior College 2,Commerce,F,1362
1993,Junior College 2,Science,MF,5526
1993,Junior College 2,Science,F,2241
1993,Pre-University 1,Arts,MF,148
1993,Pre-University 1,Arts,F,93
1993,Pre-University 1,Commerce,MF,1114
1993,Pre-University 1,Commerce,F,750
1993,Pre-University 1,Science,MF,111
1993,Pre-University 1,Science,F,43
1993,Pre-University 2,Arts,MF,211
1993,Pre-University 2,Arts,F,148
1993,Pre-University 2,Commerce,MF,1205
1993,Pre-University 2,Commerce,F,842
1993,Pre-University 2,Science,MF,157
1993,Pre-University 2,Science,F,64
1993,Pre-University 3,Arts,MF,288
1993,Pre-University 3,Arts,F,199
1993,Pre-University 3,Commerce,MF,1458
1993,Pre-University 3,Commerce,F,998
1993,Pre-University 3,Science,MF,170
1993,Pre-University 3,Science,F,69
1994,Junior College 1,Arts,MF,1297
1994,Junior College 1,Arts,F,906
1994,Junior College 1,Commerce,MF,2175
1994,Junior College 1,Commerce,F,1586
1994,Junior College 1,Science,MF,6094
1994,Junior College 1,Science,F,2531
1994,Junior College 2,Arts,MF,1419
1994,Junior College 2,Arts,F,1041
1994,Junior College 2,Commerce,MF,2003
1994,Junior College 2,Commerce,F,1511
1994,Junior College 2,Science,MF,6212
1994,Junior College 2,Science,F,2664
1994,Pre-University 1,Arts,MF,110
1994,Pre-University 1,Arts,F,71
1994,Pre-University 1,Commerce,MF,840
1994,Pre-University 1,Commerce,F,574
1994,Pre-University 1,Science,MF,97
1994,Pre-University 1,Science,F,38
1994,Pre-University 2,Arts,MF,130
1994,Pre-University 2,Arts,F,81
1994,Pre-University 2,Commerce,MF,925
1994,Pre-University 2,Commerce,F,635
1994,Pre-University 2,Science,MF,73
1994,Pre-University 2,Science,F,32
1994,Pre-University 3,Arts,MF,203
1994,Pre-University 3,Arts,F,144
1994,Pre-University 3,Commerce,MF,1121
1994,Pre-University 3,Commerce,F,797
1994,Pre-University 3,Science,MF,158
1994,Pre-University 3,Science,F,65
1995,Junior College 1,Arts,MF,1278
1995,Junior College 1,Arts,F,885
1995,Junior College 1,Commerce,MF,2361
1995,Junior College 1,Commerce,F,1754
1995,Junior College 1,Science,MF,6412
1995,Junior College 1,Science,F,2710
1995,Junior College 2,Arts,MF,1215
1995,Junior College 2,Arts,F,865
1995,Junior College 2,Commerce,MF,2046
1995,Junior College 2,Commerce,F,1504
1995,Junior College 2,Science,MF,5808
1995,Junior College 2,Science,F,2411
1995,Pre-University 1,Arts,MF,65
1995,Pre-University 1,Arts,F,39
1995,Pre-University 1,Commerce,MF,498
1995,Pre-University 1,Commerce,F,333
1995,Pre-University 1,Science,MF,48
1995,Pre-University 1,Science,F,25
1995,Pre-University 2,Arts,MF,105
1995,Pre-University 2,Arts,F,67
1995,Pre-University 2,Commerce,MF,760
1995,Pre-University 2,Commerce,F,511
1995,Pre-University 2,Science,MF,61
1995,Pre-University 2,Science,F,25
1995,Pre-University 3,Arts,MF,123
1995,Pre-University 3,Arts,F,76
1995,Pre-University 3,Commerce,MF,827
1995,Pre-University 3,Commerce,F,582
1995,Pre-University 3,Science,MF,83
1995,Pre-University 3,Science,F,35
1996,Junior College 1,Arts,MF,1375
1996,Junior College 1,Arts,F,965
1996,Junior College 1,Commerce,MF,2377
1996,Junior College 1,Commerce,F,1674
1996,Junior College 1,Science,MF,6715
1996,Junior College 1,Science,F,2817
1996,Junior College 2,Arts,MF,1197
1996,Junior College 2,Arts,F,828
1996,Junior College 2,Commerce,MF,2232
1996,Junior College 2,Commerce,F,1659
1996,Junior College 2,Science,MF,6173
1996,Junior College 2,Science,F,2607
1996,Pre-University 1,Arts,MF,60
1996,Pre-University 1,Arts,F,45
1996,Pre-University 1,Commerce,MF,264
1996,Pre-University 1,Commerce,F,180
1996,Pre-University 1,Science,MF,52
1996,Pre-University 1,Science,F,22
1996,Pre-University 2,Arts,MF,58
1996,Pre-University 2,Arts,F,35
1996,Pre-University 2,Commerce,MF,435
1996,Pre-University 2,Commerce,F,286
1996,Pre-University 2,Science,MF,42
1996,Pre-University 2,Science,F,25
1996,Pre-University 3,Arts,MF,99
1996,Pre-University 3,Arts,F,63
1996,Pre-University 3,Commerce,MF,722
1996,Pre-University 3,Commerce,F,489
1996,Pre-University 3,Science,MF,57
1996,Pre-University 3,Science,F,23
1997,Junior College 1,Arts,MF,1564
1997,Junior College 1,Arts,F,1072
1997,Junior College 1,Commerce,MF,2465
1997,Junior College 1,Commerce,F,1771
1997,Junior College 1,Science,MF,7099
1997,Junior College 1,Science,F,3221
1997,Junior College 2,Arts,MF,1288
1997,Junior College 2,Arts,F,921
1997,Junior College 2,Commerce,MF,2284
1997,Junior College 2,Commerce,F,1624
1997,Junior College 2,Science,MF,6477
1997,Junior College 2,Science,F,2724
1997,Pre-University 1,Arts,MF,65
1997,Pre-University 1,Arts,F,50
1997,Pre-University 1,Commerce,MF,199
1997,Pre-University 1,Commerce,F,123
1997,Pre-University 1,Science,MF,60
1997,Pre-University 1,Science,F,25
1997,Pre-University 2,Arts,MF,52
1997,Pre-University 2,Arts,F,42
1997,Pre-University 2,Commerce,MF,211
1997,Pre-University 2,Commerce,F,150
1997,Pre-University 2,Science,MF,36
1997,Pre-University 2,Science,F,12
1997,Pre-University 3,Arts,MF,61
1997,Pre-University 3,Arts,F,35
1997,Pre-University 3,Commerce,MF,409
1997,Pre-University 3,Commerce,F,269
1997,Pre-University 3,Science,MF,41
1997,Pre-University 3,Science,F,24
1998,Junior College 1,Arts,MF,1776
1998,Junior College 1,Arts,F,1300
1998,Junior College 1,Commerce,MF,2108
1998,Junior College 1,Commerce,F,1421
1998,Junior College 1,Science,MF,7987
1998,Junior College 1,Science,F,3700
1998,Junior College 2,Arts,MF,1425
1998,Junior College 2,Arts,F,993
1998,Junior College 2,Commerce,MF,2391
1998,Junior College 2,Commerce,F,1733
1998,Junior College 2,Science,MF,6843
1998,Junior College 2,Science,F,3087
1998,Pre-University 1,Arts,MF,92
1998,Pre-University 1,Arts,F,67
1998,Pre-University 1,Commerce,MF,265
1998,Pre-University 1,Commerce,F,182
1998,Pre-University 1,Science,MF,77
1998,Pre-University 1,Science,F,35
1998,Pre-University 2,Arts,MF,46
1998,Pre-University 2,Arts,F,35
1998,Pre-University 2,Commerce,MF,167
1998,Pre-University 2,Commerce,F,105
1998,Pre-University 2,Science,MF,55
1998,Pre-University 2,Science,F,21
1998,Pre-University 3,Arts,MF,50
1998,Pre-University 3,Arts,F,39
1998,Pre-University 3,Commerce,MF,214
1998,Pre-University 3,Commerce,F,150
1998,Pre-University 3,Science,MF,34
1998,Pre-University 3,Science,F,11
1999,Junior College 1,Arts,MF,1988
1999,Junior College 1,Arts,F,1433
1999,Junior College 1,Commerce,MF,1838
1999,Junior College 1,Commerce,F,1267
1999,Junior College 1,Science,MF,8547
1999,Junior College 1,Science,F,4064
1999,Junior College 2,Arts,MF,1645
1999,Junior College 2,Arts,F,1213
1999,Junior College 2,Commerce,MF,1973
1999,Junior College 2,Commerce,F,1335
1999,Junior College 2,Science,MF,7750
1999,Junior College 2,Science,F,3600
1999,Pre-University 1,Arts,MF,170
1999,Pre-University 1,Arts,F,114
1999,Pre-University 1,Commerce,MF,199
1999,Pre-University 1,Commerce,F,129
1999,Pre-University 1,Science,MF,110
1999,Pre-University 1,Science,F,48
1999,Pre-University 2,Arts,MF,84
1999,Pre-University 2,Arts,F,58
1999,Pre-University 2,Commerce,MF,222
1999,Pre-University 2,Commerce,F,159
1999,Pre-University 2,Science,MF,60
1999,Pre-University 2,Science,F,28
1999,Pre-University 3,Arts,MF,41
1999,Pre-University 3,Arts,F,32
1999,Pre-University 3,Commerce,MF,154
1999,Pre-University 3,Commerce,F,94
1999,Pre-University 3,Science,MF,53
1999,Pre-University 3,Science,F,20
2000,Junior College 1,Arts,MF,2442
2000,Junior College 1,Arts,F,1757
2000,Junior College 1,Commerce,MF,-
2000,Junior College 1,Commerce,F,-
2000,Junior College 1,Science,MF,9355
2000,Junior College 1,Science,F,4529
2000,Junior College 2,Arts,MF,1904
2000,Junior College 2,Arts,F,1392
2000,Junior College 2,Commerce,MF,1737
2000,Junior College 2,Commerce,F,1200
2000,Junior College 2,Science,MF,8262
2000,Junior College 2,Science,F,3928
2000,Pre-University 1,Arts,MF,138
2000,Pre-University 1,Arts,F,87
2000,Pre-University 1,Commerce,MF,165
2000,Pre-University 1,Commerce,F,120
2000,Pre-University 1,Science,MF,91
2000,Pre-University 1,Science,F,50
2000,Pre-University 2,Arts,MF,103
2000,Pre-University 2,Arts,F,69
2000,Pre-University 2,Commerce,MF,221
2000,Pre-University 2,Commerce,F,144
2000,Pre-University 2,Science,MF,97
2000,Pre-University 2,Science,F,38
2000,Pre-University 3,Arts,MF,81
2000,Pre-University 3,Arts,F,55
2000,Pre-University 3,Commerce,MF,161
2000,Pre-University 3,Commerce,F,118
2000,Pre-University 3,Science,MF,47
2000,Pre-University 3,Science,F,19
2001,Junior College 1,Arts,MF,2365
2001,Junior College 1,Arts,F,1673
2001,Junior College 1,Commerce,MF,-
2001,Junior College 1,Commerce,F,-
2001,Junior College 1,Science,MF,9783
2001,Junior College 1,Science,F,4830
2001,Junior College 2,Arts,MF,2283
2001,Junior College 2,Arts,F,1666
2001,Junior College 2,Commerce,MF,-
2001,Junior College 2,Commerce,F,-
2001,Junior College 2,Science,MF,8913
2001,Junior College 2,Science,F,4347
2001,Pre-University 1,Arts,MF,132
2001,Pre-University 1,Arts,F,87
2001,Pre-University 1,Commerce,MF,110
2001,Pre-University 1,Commerce,F,76
2001,Pre-University 1,Science,MF,97
